voxel_idx,n_eff,k_opp,k_conc,p_opp,p_conc,bold_median,dcmr_median,bold_mean,dcmr_mean
8354,37,14,23,0.3783783783783784,0.6216216216216216,0.2932581,0.13021828,0.25413644,2.0342896
8355,37,16,21,0.4324324324324324,0.5675675675675675,0.15303423,-0.78443176,0.26651922,1.6938502
8356,37,21,16,0.5675675675675675,0.4324324324324324,0.25964797,-0.93117744,0.25288722,0.98922193
8360,37,12,25,0.3243243243243243,0.6756756756756757,-0.15353227,-0.8473399,-0.24842814,-0.44036415
8361,37,18,19,0.4864864864864865,0.5135135135135135,-0.13712081,0.04879451,-0.24825646,0.58147883
8362,37,22,15,0.5945945945945946,0.4054054054054054,-0.36049494,3.9465523,-0.4784106,4.7164087
8363,37,22,15,0.5945945945945946,0.4054054054054054,-0.31355408,4.422218,-0.3565734,5.4630394
8364,37,22,15,0.5945945945945946,0.4054054054054054,-0.19932353,4.786553,-0.30487737,5.9096313
8371,37,14,23,0.3783783783783784,0.6216216216216216,0.27433246,3.6383796,0.30268538,6.674636
8373,37,20,17,0.5405405405405406,0.4594594594594595,0.1565774,3.0163164,0.25295696,7.6703777
8374,37,13,24,0.3513513513513513,0.6486486486486487,0.23320875,1.9892281,0.22188397,7.4547806
8381,37,16,21,0.4324324324324324,0.5675675675675675,-0.17552072,6.874893,-0.36419934,5.359356
8382,37,18,19,0.4864864864864865,0.5135135135135135,-0.18683845,7.1885915,-0.26061818,6.4473124
8383,37,22,15,0.5945945945945946,0.4054054054054054,-0.08558556,3.09132,-0.17895669,7.040849
8413,37,12,25,0.3243243243243243,0.6756756756756757,0.32561868,5.48928,0.37365294,9.423289
8414,37,15,22,0.4054054054054054,0.5945945945945946,0.25547332,4.0107036,0.28285864,9.302796
8415,37,16,21,0.4324324324324324,0.5675675675675675,0.24563634,4.7940574,0.31021369,7.757579
8428,37,22,15,0.5945945945945946,0.4054054054054054,-0.15846854,12.473965,-0.15549937,13.213742
8429,37,14,23,0.3783783783783784,0.6216216216216216,0.44557405,9.386815,0.5046447,8.730196
8430,37,13,24,0.3513513513513513,0.6486486486486487,0.41043207,6.031358,0.4547158,8.843552
8431,37,15,22,0.4054054054054054,0.5945945945945946,0.5170201,5.345844,0.51482034,8.135355
8448,37,27,10,0.7297297297297297,0.2702702702702703,-0.16481794,13.801299,-0.18393502,13.471204
8449,37,21,16,0.5675675675675675,0.4324324324324324,-0.13574734,14.065065,-0.18803114,14.458904
8450,37,14,23,0.3783783783783784,0.6216216216216216,0.4539848,5.772832,0.5468206,5.9089108
8451,37,15,22,0.4054054054054054,0.5945945945945946,0.43228906,4.8655868,0.5562126,6.665865
8452,37,16,21,0.4324324324324324,0.5675675675675675,0.4343983,7.9391837,0.6428014,6.9532175
8453,37,11,26,0.2972972972972973,0.7027027027027027,0.4688412,4.7528453,0.5862652,6.485488
8472,37,15,22,0.4054054054054054,0.5945945945945946,0.5127815,2.7992306,0.5863329,5.019128
8473,37,13,24,0.3513513513513513,0.6486486486486487,0.5524534,2.8676677,0.6608896,5.2836833
8474,37,14,23,0.3783783783783784,0.6216216216216216,0.5167633,4.9623866,0.65225667,5.5039186
8475,37,15,22,0.4054054054054054,0.5945945945945946,0.6472048,5.8003917,0.7177888,4.930339
8491,37,11,26,0.2972972972972973,0.7027027027027027,0.5318542,5.577437,0.57265335,5.403979
8492,37,13,24,0.3513513513513513,0.6486486486486487,0.71082306,4.314147,0.69871426,4.619221
8493,37,13,24,0.3513513513513513,0.6486486486486487,0.67935514,2.522349,0.72891927,4.3129373
8494,37,18,19,0.4864864864864865,0.5135135135135135,0.685966,5.762158,0.75953174,3.9869707
8506,37,13,24,0.3513513513513513,0.6486486486486487,0.6756172,2.20385,0.710789,4.325368
8507,37,16,21,0.4324324324324324,0.5675675675675675,0.6452506,2.5345368,0.7830826,2.8854508
8508,37,14,23,0.3783783783783784,0.6216216216216216,0.790373,0.74026954,0.7473871,2.193778
8509,37,16,21,0.4324324324324324,0.5675675675675675,0.71174,1.6798229,0.72392964,1.6519773
8521,37,16,21,0.4324324324324324,0.5675675675675675,0.5153835,-0.41267943,0.59939003,2.935872
8522,37,22,15,0.5945945945945946,0.4054054054054054,0.54760563,-2.8153133,0.6114651,1.0020932
8523,37,19,18,0.5135135135135135,0.4864864864864865,0.4939878,-2.9908547,0.590453,0.14138345
8524,37,20,17,0.5405405405405406,0.4594594594594595,0.5244541,-2.1371012,0.6311595,-0.5245446
8525,37,21,16,0.5675675675675675,0.4324324324324324,0.49429166,-0.96064776,0.716851,-0.9909018
8526,37,20,17,0.5405405405405406,0.4594594594594595,0.6573104,-2.0434167,0.77222943,-0.13944079
8527,37,18,19,0.4864864864864865,0.5135135135135135,0.6958997,-0.67177427,0.7382429,-0.61430395
8537,37,22,15,0.5945945945945946,0.4054054054054054,-0.11664337,0.48013052,-0.20952772,0.39608157
8539,37,18,19,0.4864864864864865,0.5135135135135135,-0.21601856,4.347045,-0.29440033,5.40336
