voxel,bold_mean,dcmro2_mean,dcbf_mean,considered,cmro2_sig,finite_all
120,-0.02353403,7.6543856,6.207584,0,0,1
121,0.04078936,1.975623,1.6508704,0,0,1
122,0.059812166,0.4244545,0.25916913,0,0,1
123,-0.086131096,0.10288884,-0.47167394,0,0,1
124,-0.34772068,3.6329367,2.959191,0,0,1
125,0.274486,3.3536222,2.1703763,0,0,1
126,-0.22315058,3.347616,3.5953977,0,0,1
127,0.028022429,5.30487,5.0076275,0,0,1
128,-0.30001828,7.242856,6.6325083,0,0,1
129,-0.61577743,8.437496,7.5916533,0,0,1
130,-0.35033336,7.9101005,6.943896,0,0,1
131,0.13612755,7.1100526,5.890265,0,0,1
132,-0.060554605,2.585257,2.2542882,0,0,1
133,-0.03172572,1.8348399,1.0043943,0,0,1
134,-0.08564204,1.3925719,-0.18475685,0,0,1
135,-6.3728094,1.6780584,0.91064113,0,0,1
136,-0.13102952,3.6747239,3.025827,0,0,1
137,-0.9379002,8.993022,7.232016,0,0,1
138,-0.7376552,7.001376,6.4995327,0,0,1
139,0.2705071,4.6346045,5.211219,0,0,1
140,0.30612013,3.3865864,4.344191,0,0,1
141,-0.22206828,3.8083758,3.341891,0,0,1
142,-0.28184915,4.6456356,2.6998599,0,0,1
143,-0.10959485,3.6063738,2.0398157,0,0,1
144,-0.17744188,-1.3874706,-2.6606274,0,0,1
145,-0.5802681,-0.20532131,-0.8546645,0,0,1
146,-0.24668106,2.2606344,1.6769452,0,0,1
147,-0.28221083,5.1962147,4.349582,0,0,1
148,0.09420069,1.6785324,4.2942233,0,0,1
149,0.036312044,0.64477354,3.400346,0,0,1
150,-0.2671453,1.9811028,3.0816896,0,0,1
151,-0.1916938,3.7590084,3.1637132,0,0,1
152,-0.4461363,-5.0944133,-4.628056,0,0,1
153,-0.19711077,0.96151716,1.0101664,0,0,1
154,0.06201088,4.456818,4.39311,0,0,1
155,-0.0861459,-1.0599662,2.569588,0,0,1
156,0.32724366,0.12367767,3.1282358,0,0,1
157,2.2637832,-12.620957,5.3029184,0,0,1
158,-4.317972,-9.679301,4.309412,0,0,1
159,-0.054213345,-5.6636333,5.997076,0,0,1
160,-0.0032890928,0.7193778,6.671362,0,0,1
161,0.22591516,0.85920817,6.1709304,0,0,1
162,0.6545823,-0.7750229,5.2758436,0,0,1
163,-0.31384563,-5.8364606,2.7627919,0,0,1
164,0.091947034,0.6456223,6.5642147,0,0,1
165,0.38448682,3.187152,6.9346876,0,0,1
166,0.18897758,4.47725,7.1015353,0,0,1
167,-0.15941627,4.4393554,6.636026,0,0,1
168,-0.10611879,2.7074294,5.6339154,0,0,1
169,-0.36138773,-0.44720596,4.230072,0,0,1
170,-0.18898383,-0.36322632,2.895409,0,0,1
171,0.0464005,-2.022227,1.8995398,0,0,1
172,-0.2133229,-2.7213356,1.5864519,0,0,1
173,-0.65392417,-3.470005,1.8643857,0,0,1
174,0.34848952,2.5984375,6.519849,0,0,1
175,0.084810235,2.5770497,6.035337,0,0,1
176,-0.0025904411,4.022377,6.3264003,0,0,1
177,0.024536824,4.2303147,6.633671,0,0,1
178,-0.07970751,3.838793,6.36359,0,0,1
179,-0.14623389,3.3872013,5.356772,0,0,1
180,-0.22721274,1.5985982,3.5664291,0,0,1
181,-0.12624088,1.1276959,2.0629718,0,0,1
182,0.048589233,0.25017965,1.1050993,0,0,1
183,-0.08165193,-1.8507489,0.786942,0,0,1
184,-0.51007336,-3.9362333,0.35380164,0,0,1
185,-0.67334443,-6.423813,-0.35639155,1,0,1
186,-0.96948224,-6.806874,-1.1532682,1,0,1
187,-1.9874909,-0.11249565,9.506398,0,0,1
188,0.47704467,2.0023637,6.8844843,0,0,1
189,0.026394773,3.04275,6.046028,0,0,1
190,0.29123002,2.955676,5.4940786,0,0,1
191,-0.027958646,3.2564747,5.5709953,0,0,1
192,-0.05174608,2.4859307,5.4491415,0,0,1
193,-0.19786699,2.610184,4.7097673,0,0,1
194,-0.21323392,1.6420915,3.2685843,0,0,1
195,-0.31887642,0.56824356,1.7970877,0,0,1
196,-0.27505594,-0.6930815,0.17723414,0,0,1
197,0.1665667,-1.9641361,-0.8649882,0,0,1
198,-0.14646527,-3.2565942,-1.6201394,0,0,1
199,-0.31226993,-4.038121,-1.5820167,0,0,1
200,-0.43377632,-4.7786703,-1.8267654,1,0,1
201,-0.6506816,-5.717906,-2.167845,1,0,1
202,-0.51618063,-9.518535,-2.688282,1,0,1
203,-0.52193105,-12.47228,-2.4862049,1,1,1
204,-0.58906955,-11.813644,-1.8634692,0,0,1
205,-0.39503604,-11.478739,-1.290555,0,0,1
206,0.94587636,0.62419164,9.683552,0,0,1
207,0.38272038,3.0602431,7.072746,0,0,1
208,0.35413104,3.5349808,5.5149436,0,0,1
209,0.038767178,3.3350973,4.9578185,0,0,1
210,-0.11290521,2.5256677,4.729551,0,0,1
211,-0.2673553,2.604108,4.261674,0,0,1
212,-0.28092256,2.5058894,3.5733268,0,0,1
213,-0.34175783,1.6664484,2.6097255,0,0,1
214,-0.3364014,0.681005,1.1354359,0,0,1
215,-0.23214023,-0.56436914,-0.07955394,0,0,1
216,-0.32582578,-2.134415,-1.1345146,0,0,1
217,-0.33471233,-2.8085096,-1.9807335,0,0,1
218,-0.4224864,-2.4253142,-2.2047355,1,0,1
219,-0.3009921,-3.0912766,-2.0653412,0,0,1
220,-0.16573904,-3.515845,-1.4793935,0,0,1
221,-0.20591173,-3.8934395,-0.8708867,0,0,1
222,-0.44088873,-4.1650057,-0.22213487,1,0,1
223,-0.3859169,-3.7263927,0.5271757,0,0,1
224,-0.091302566,-4.4847693,0.5783201,0,0,1
225,-0.04358105,-5.071166,-0.012487978,0,0,1
226,-0.35054332,-7.566358,-1.3530743,0,0,1
227,0.18377247,3.309897,10.492258,0,0,1
228,0.55300885,4.1073155,7.9347477,0,0,1
229,0.27557632,4.160399,6.994441,0,0,1
230,0.33382383,3.4807987,6.012161,0,0,1
231,-0.3088673,2.8054144,4.078198,0,0,1
232,-0.4440504,4.2841506,4.2560997,1,0,1
233,-0.43866485,3.773944,4.0154757,1,0,1
234,-0.27364913,2.6573021,2.503054,0,0,1
235,-0.27743715,0.67065924,1.2243611,0,0,1
236,-0.2143802,-0.35733107,-0.09413141,0,0,1
237,-0.2970893,-0.25604996,-0.95842403,0,0,1
238,-0.33126864,-0.41655138,-0.8764386,0,0,1
239,-0.06577924,-1.0394047,-0.39673185,0,0,1
240,-0.1299922,-0.6205525,0.7717751,0,0,1
241,-0.2092782,-0.24418549,1.1189057,0,0,1
242,-0.42473325,-0.43128976,1.1977478,1,0,1
243,-0.4564667,-2.1723301,0.20436467,1,0,1
244,-0.23075572,-4.535484,-1.1634072,0,0,1
245,-0.37562385,-7.8178005,-2.5288801,1,0,1
246,-0.08808897,5.9511385,11.192026,0,0,1
247,0.3482021,4.7755833,8.113398,0,0,1
248,-0.45492446,4.3893757,7.055788,0,0,1
249,1.3215972,2.9214919,5.616963,0,0,1
250,-0.54001576,3.4360797,4.432257,0,0,1
251,-0.52118814,5.646108,5.522935,1,0,1
252,-0.2526935,5.760766,5.510408,0,0,1
253,-0.08764061,4.9468837,4.7504272,0,0,1
254,-0.18418308,2.038918,1.1059856,0,0,1
255,-0.27789918,1.3317608,0.7178648,0,0,1
256,-0.2745265,0.17453797,0.4199189,0,0,1
257,-0.18587278,0.6548922,0.87455463,0,0,1
258,-0.11207407,0.6314457,0.7826911,0,0,1
259,-0.23054488,1.0161339,0.7094236,0,0,1
260,-0.48166135,0.07160916,-0.13666393,1,0,1
261,-0.45644867,-1.7362789,-1.3830812,0,0,1
262,-0.59969807,-3.8545375,-2.4712508,0,0,1
263,-0.7556114,-8.151706,-3.006709,1,0,1
264,2.0641646,4.750197,10.409531,0,0,1
265,0.35973924,4.3558946,7.4623237,0,0,1
266,-0.123119704,4.004822,6.4760833,0,0,1
267,-0.23600782,2.5345154,4.917405,0,0,1
268,-0.42886975,3.0923584,3.910847,1,0,1
269,-0.40175894,4.41741,4.915175,0,0,1
270,-0.2667761,6.555952,6.8429327,0,0,1
271,-0.11740406,7.3478985,7.1582313,0,0,1
272,-0.14910664,4.2547083,3.2453103,0,0,1
273,-0.080932796,2.985,2.3887925,0,0,1
274,-0.20139204,1.9338171,1.7842795,0,0,1
275,-0.1463877,2.7528777,1.735817,0,0,1
276,-0.074791476,2.1689181,1.4358945,0,0,1
277,-0.2410063,2.204633,1.2841905,0,0,1
278,-0.26423928,2.106774,0.5306247,0,0,1
279,0.108974256,0.89278716,-0.7273781,0,0,1
280,-0.04894738,-1.0474102,-1.5811697,0,0,1
281,-0.6591422,-3.0227277,-2.1316593,0,0,1
282,-1.484871,-5.5801935,-1.7629303,0,0,1
283,-1.0073873,5.182967,16.009153,0,0,1
284,1.397738,3.9280107,9.896704,0,0,1
285,0.36507258,3.6389925,6.4371314,0,0,1
286,0.04112626,3.4933865,5.931077,0,0,1
287,-0.19153138,3.0262613,4.877426,0,0,1
288,-0.34475395,4.1661553,3.9698336,1,0,1
289,-0.22996593,4.852771,4.48923,0,0,1
290,-0.05890378,6.603444,6.088622,0,0,1
291,-0.21847185,7.066556,6.495396,0,0,1
292,-0.2655999,6.7991037,5.861475,1,1,1
293,-0.08511559,5.968337,4.5863686,0,0,1
294,-0.12474705,3.9307065,3.401713,0,0,1
295,-0.1898639,3.4349508,2.6895957,0,0,1
296,-0.1684213,2.772234,1.5033238,0,0,1
297,-0.2254346,2.6767488,0.79758465,0,0,1
298,0.014642591,1.6163706,-0.26039436,0,0,1
299,-0.07659786,0.36309487,-1.0335801,0,0,1
300,-0.8357795,-1.546662,-2.031612,1,0,1
301,-1.5344089,-2.5486884,-1.5598867,0,0,1
302,-0.5502594,-3.9481456,0.5503014,0,0,1
303,-2.1514676,9.831354,16.137688,0,0,1
304,2.329106,6.3220906,10.674009,1,0,1
305,-0.3383479,6.3467326,4.9795794,0,0,1
306,-0.28668737,7.00043,5.75116,0,0,1
307,-0.10281513,8.002416,6.491205,0,0,1
308,-0.1419442,7.3782835,5.033226,0,0,1
309,-0.12618703,6.7270136,4.3644624,0,0,1
310,-0.10654027,5.338079,3.56915,0,0,1
311,-0.20393139,4.3140616,2.7481337,0,0,1
312,-0.08393064,3.5340493,1.8821497,0,0,1
313,-0.35165575,3.1770706,1.3181874,1,0,1
314,-0.105098486,1.8631043,0.2816264,0,0,1
315,0.016580604,1.1787139,-0.7625194,0,0,1
316,-0.66436887,0.4763163,-1.4644159,1,0,1
317,-1.2563735,0.56708896,-0.3430179,1,0,1
318,-0.47303778,1.2620144,2.577946,0,0,1
319,-3.0747805,11.837305,16.255095,0,0,1
320,2.731612,9.572273,11.221993,0,0,1
321,0.21712355,7.192032,5.8998227,0,0,1
322,-0.3395529,8.726462,6.802532,0,0,1
323,-0.22446746,10.014186,8.349044,0,0,1
324,-0.12735616,9.996743,7.625863,0,0,1
325,-0.15757519,6.7361207,3.5322793,0,0,1
326,-0.33240452,6.1905165,3.006993,0,0,1
327,-0.08841404,5.556139,2.6337562,0,0,1
328,-0.23675853,4.1258016,1.8647333,0,0,1
329,-0.31020808,3.1651485,1.2947792,0,0,1
330,-0.20255104,3.0875576,1.2923098,0,0,1
331,-0.19622266,3.6426325,2.0566933,0,0,1
332,-0.49926308,3.969657,2.2699006,1,0,1
333,-0.6465298,4.3440366,2.4516969,1,0,1
334,-0.42660165,4.3045025,1.6511624,0,0,1
335,-0.84892213,3.2681801,0.81022626,1,0,1
336,-0.88556564,2.8262503,1.8963561,1,0,1
337,-0.7648973,4.823794,5.093474,1,0,1
338,0.8973983,11.682454,14.768319,0,0,1
339,0.18857606,9.12425,9.72035,0,0,1
340,-0.15900387,6.7442307,6.228519,0,0,1
341,-0.13334125,8.447805,6.9410934,0,0,1
342,-0.26226476,9.90862,8.0117445,0,0,1
343,-0.075909376,10.676086,8.648323,0,0,1
344,-0.25384077,5.1066027,1.214032,0,0,1
345,-0.091793746,4.9215426,0.9044975,0,0,1
346,-0.23997283,3.104763,0.3305573,0,0,1
347,-0.2068517,1.8044903,-0.19051632,0,0,1
348,-0.32149163,1.749564,-0.09738116,0,0,1
349,-0.3828934,2.6545522,0.87351054,0,0,1
350,-0.5817691,4.1968336,2.2364233,1,0,1
351,-0.8889532,6.282304,3.844421,1,0,1
352,-0.86943513,6.392165,3.8315578,1,0,1
353,-0.636145,3.8312294,2.6857321,1,0,1
354,-0.6677111,2.5235372,3.1914988,1,0,1
355,-0.7357355,6.641065,6.986743,1,0,1
356,0.74605733,11.158759,12.3273115,0,0,1
357,-0.2626693,6.563297,6.499576,0,0,1
358,0.29698217,4.9061995,4.171266,0,0,1
359,0.010659005,6.776815,5.1897864,0,0,1
360,-0.24378708,8.366375,6.7191167,0,0,1
361,0.084655166,10.348725,8.303072,0,0,1
362,0.05504258,10.24505,7.8094044,0,0,1
363,-0.21077046,2.9738948,-0.18490513,0,0,1
364,-0.3535321,3.0889552,-0.5107857,0,0,1
365,-0.44176558,2.9148974,-1.056298,0,0,1
366,-0.3346955,0.972769,-1.6954736,0,0,1
367,-0.36583033,-0.14286932,-2.030688,0,0,1
368,-0.5220076,0.23186396,-1.4581263,1,0,1
369,-0.5521383,1.2818007,-0.5501428,1,0,1
370,-0.26971477,2.8762016,0.83796847,0,0,1
371,1.0113792,9.250001,9.923931,0,0,1
372,0.041798376,4.323776,3.2404025,0,0,1
373,0.119292036,6.935799,5.1949134,0,0,1
374,-0.18883485,8.228261,6.6123033,0,0,1
375,0.08817336,9.727256,7.638212,0,0,1
376,-0.092569634,2.1966956,-0.24780238,0,0,1
377,-0.035052974,1.5003102,-1.1235448,0,0,1
378,-0.10561254,0.63613325,-1.5900081,0,0,1
379,-0.38280445,0.8680753,-1.904981,0,0,1
380,-0.56170267,-0.438443,-2.029014,0,0,1
381,-0.5680778,0.24288772,-1.298193,1,0,1
382,-0.40331626,1.4171392,-0.075499855,1,0,1
383,-0.21195312,2.107721,0.88296986,0,0,1
384,-0.33361718,1.7276822,0.88445574,0,0,1
385,-0.28801638,0.59777266,1.2359802,1,0,1
386,-0.23579197,0.4490486,2.5368586,0,0,1
387,0.02436307,5.666822,7.74997,0,0,1
388,2.8331914,5.957074,3.976112,0,0,1
389,-0.1740765,8.906232,6.9609957,0,0,1
390,-0.06833183,9.6778,7.387402,0,0,1
391,-0.19382681,2.4933193,0.04524508,0,0,1
392,-0.18973392,1.1642969,-1.0090241,0,0,1
393,-0.14049861,0.0067133685,-1.6356503,0,0,1
394,-1.1869458,-0.4511287,-2.7670166,0,0,1
395,-0.59556,-0.25317314,-2.4879866,0,0,1
396,-0.34291008,-0.10650642,-2.099918,0,0,1
397,-0.3186185,0.043955926,-1.5589101,0,0,1
398,-0.2865416,0.6337923,-0.6578118,0,0,1
399,-0.24370629,1.2532709,-0.0055330414,0,0,1
400,-0.22460294,1.2514249,-0.17857964,0,0,1
401,-0.26631328,0.41983083,-0.082308635,0,0,1
402,-0.22282057,0.45488545,0.87774175,0,0,1
403,-0.4035114,4.659834,5.759184,0,0,1
404,1.0415035,3.108652,0.10186335,0,0,1
405,0.2670508,6.631062,3.9320765,0,0,1
406,-0.31163254,9.180196,6.1437006,0,0,1
407,-0.35519752,10.41054,7.5694084,0,0,1
408,-0.21318004,9.732507,6.9543595,0,0,1
409,-0.26271927,3.3636897,1.0113659,1,0,1
410,-0.5167192,1.7298242,-0.061627958,1,0,1
411,-1.5697207,0.28894117,-2.3614507,1,0,1
412,-1.7794816,0.27486196,-2.6137242,0,0,1
413,-0.6501582,0.6565785,-2.3784108,1,0,1
414,-0.2086218,0.38528103,-2.361085,0,0,1
415,-0.30771747,0.14522961,-2.056859,0,0,1
416,-0.17897989,0.30222052,-1.4464681,0,0,1
417,-0.16153038,0.89384943,-0.7479077,0,0,1
418,-0.23269287,1.2201099,-0.56943077,0,0,1
419,-0.2174977,0.30279964,-0.23626274,0,0,1
420,-0.22542289,0.64755803,1.1287695,0,0,1
421,1.1684259,-3.8548431,-0.3956646,0,0,1
422,1.025379,-0.8797837,-3.3110511,0,0,1
423,0.15810165,6.3172865,3.5025039,0,0,1
424,-0.449467,10.685303,7.475903,0,0,1
425,-0.17477758,8.553447,6.020457,0,0,1
426,-0.21869254,3.12625,0.9851361,0,0,1
427,-1.1107117,2.5362465,0.44219267,1,0,1
428,-1.0208263,1.883823,-0.82945985,1,0,1
429,-0.9055113,1.2240219,-1.7535341,1,0,1
430,-0.46436253,0.8199956,-2.2734516,0,0,1
431,-0.16775553,-0.012210992,-2.96006,0,0,1
432,-0.3788649,-0.8461556,-2.8477194,1,0,1
433,-0.19569728,-1.0865474,-2.2548845,0,0,1
434,-0.09219604,-0.620009,-1.4712054,0,0,1
435,-0.21021213,0.0026455412,-0.83519036,0,0,1
436,-0.21777831,0.9422856,0.5980445,1,0,1
437,-0.16994248,-5.9317636,-3.188758,0,0,1
438,-0.113869555,-3.8931804,-5.240002,0,0,1
439,-0.08618981,5.976418,3.28458,0,0,1
440,-0.49976695,9.675572,6.924601,0,0,1
441,-0.2574054,9.20099,6.594625,0,0,1
442,-0.14384775,6.084701,4.861943,0,0,1
443,-0.25897422,1.4182496,-0.14129414,0,0,1
444,-0.2310698,2.5574527,0.34504887,0,0,1
